TemplateID,GreenRatio,BlueRatio,GreenRank,BlueRank
541,0.1506,0.027,1,858
252,0.1502,0.0269,2,864
602,0.1497,0.0283,3,768
792,0.1495,0.0244,4,931
631,0.1494,0.0259,5,897
672,0.1494,0.027,6,860
701,0.1492,0.0245,7,926
188,0.1491,0.0275,8,817
655,0.1484,0.0298,9,671
732,0.1481,0.0318,10,486
854,0.1478,0.0319,11,465
149,0.1477,0.025,12,918
997,0.1475,0.032,13,459
206,0.1474,0.032,14,457
614,0.1473,0.0331,15,359
539,0.1473,0.0247,16,923
274,0.1473,0.0245,17,927
397,0.1473,0.0271,18,849
590,0.1472,0.0309,19,578
332,0.1472,0.0238,20,946
545,0.147,0.0248,21,920
266,0.1469,0.0296,22,686
393,0.1468,0.0233,23,954
743,0.1468,0.0321,24,442
281,0.1464,0.0259,25,895
16,0.1464,0.0261,26,891
810,0.1463,0.0253,27,910
971,0.1461,0.0332,28,337
485,0.146,0.0277,29,812
663,0.1459,0.0299,30,669
438,0.1458,0.0283,31,767
653,0.1458,0.0214,32,971
867,0.1458,0.0331,33,352
48,0.1458,0.026,34,892
8,0.1457,0.0211,35,974
930,0.1457,0.0325,36,418
452,0.1457,0.0209,37,977
499,0.1455,0.0337,38,299
948,0.1454,0.0318,39,483
171,0.1454,0.0335,40,322
845,0.1453,0.0301,41,657
356,0.1453,0.0206,42,984
873,0.1453,0.0208,43,980
454,0.1453,0.0208,44,979
535,0.1452,0.0272,45,840
353,0.1452,0.0285,46,753
378,0.1452,0.0213,47,972
559,0.1452,0.034,48,285
359,0.1451,0.0279,49,798
241,0.1451,0.0324,50,426
691,0.145,0.0265,51,878
233,0.145,0.0326,52,403
333,0.145,0.0327,53,400
578,0.1449,0.0273,54,831
909,0.1448,0.0336,55,311
994,0.1448,0.0272,56,839
685,0.1447,0.0321,57,444
129,0.1447,0.0281,58,785
152,0.1447,0.0275,59,825
988,0.1445,0.0202,60,989
340,0.1444,0.0271,61,855
673,0.1444,0.0279,62,801
177,0.1444,0.0221,63,963
876,0.1443,0.028,64,789
652,0.1443,0.0288,65,732
493,0.1442,0.0211,66,973
182,0.1442,0.0278,67,802
537,0.1442,0.0344,68,260
780,0.1441,0.0202,69,990
329,0.144,0.0345,70,254
611,0.144,0.0284,71,759
710,0.144,0.0348,72,236
405,0.1439,0.0278,73,804
400,0.1439,0.0253,74,912
121,0.1439,0.0359,75,176
142,0.1439,0.03,76,662
170,0.1438,0.0261,77,890
310,0.1438,0.0292,78,708
826,0.1438,0.0287,79,739
496,0.1438,0.0256,80,904
457,0.1437,0.0206,81,983
959,0.1436,0.0328,82,386
304,0.1436,0.0264,83,882
869,0.1436,0.0351,84,217
736,0.1435,0.0205,85,986
761,0.1435,0.0207,86,981
368,0.1435,0.0262,87,888
54,0.1435,0.0274,88,826
966,0.1435,0.0209,89,976
448,0.1435,0.0351,90,222
832,0.1434,0.0204,91,988
689,0.1434,0.0299,92,667
459,0.1434,0.0346,93,248
471,0.1433,0.0205,94,987
413,0.1433,0.0336,95,308
164,0.1433,0.0291,96,711
656,0.1432,0.0331,97,350
728,0.1432,0.0269,98,862
315,0.1432,0.0235,99,951
9,0.1431,0.0313,100,537
461,0.1431,0.0297,101,678
516,0.1431,0.0297,102,680
582,0.1431,0.0349,103,228
674,0.143,0.0237,104,949
451,0.143,0.0334,105,326
479,0.143,0.0316,106,498
337,0.1429,0.0209,107,978
624,0.1429,0.0268,108,867
254,0.1429,0.0309,109,580
727,0.1428,0.0312,110,561
108,0.1427,0.0295,111,692
183,0.1427,0.0318,112,472
794,0.1426,0.0352,113,209
364,0.1426,0.0312,114,553
351,0.1424,0.0223,115,962
546,0.1424,0.0298,116,674
976,0.1424,0.0302,117,654
321,0.1423,0.0234,118,953
258,0.1422,0.0329,119,369
32,0.1422,0.0312,120,551
846,0.1422,0.0316,121,505
725,0.1422,0.0216,122,969
156,0.1421,0.0291,123,713
591,0.142,0.0295,124,698
958,0.142,0.0312,125,550
213,0.142,0.0279,126,800
628,0.1419,0.0294,127,705
415,0.1419,0.0358,128,182
14,0.1418,0.029,129,718
68,0.1417,0.0386,130,48
642,0.1416,0.0274,131,827
715,0.1416,0.03,132,661
27,0.1415,0.0303,133,645
702,0.1414,0.029,134,720
238,0.1414,0.0317,135,490
309,0.1414,0.0309,136,586
174,0.1414,0.0321,137,449
688,0.1414,0.0302,138,655
709,0.1414,0.0273,139,832
232,0.1412,0.0296,140,684
24,0.1412,0.0286,141,743
